# l                Dl               -dDl             +dDl             
  4.60000000e+01  -1.57568116e+00   3.63159327e+00   3.63159327e+00
  4.70000000e+01   1.72808755e+00   3.65792883e+00   3.65792883e+00
  4.80000000e+01  -4.90458271e-01   3.68607909e+00   3.68607909e+00
  4.90000000e+01   6.96788472e+00   3.71612296e+00   3.71612296e+00
  5.00000000e+01   1.10855685e+00   3.74784547e+00   3.74784547e+00
  5.10000000e+01   9.88792487e+00   3.78103683e+00   3.78103683e+00
  5.20000000e+01  -3.90499513e+00   3.81578728e+00   3.81578728e+00
  5.30000000e+01  -6.21530063e+00   3.85218582e+00   3.85218582e+00
  5.40000000e+01   4.85101579e+00   3.89003935e+00   3.89003935e+00
  5.50000000e+01  -1.18801984e+00   3.92915511e+00   3.92915511e+00
  5.60000000e+01  -9.06159524e+00   3.96979598e+00   3.96979598e+00
  5.70000000e+01  -6.99891695e+00   4.01202517e+00   4.01202517e+00
  5.80000000e+01  -3.77610963e+00   4.05561261e+00   4.05561261e+00
  5.90000000e+01   2.52782370e+00   4.10033386e+00   4.10033386e+00
  6.00000000e+01  -2.92718145e+00   4.14627518e+00   4.14627518e+00
  6.10000000e+01  -6.86629128e+00   4.19363593e+00   4.19363593e+00
  6.20000000e+01  -6.60747906e+00   4.24241659e+00   4.24241659e+00
  6.30000000e+01   5.83482457e-01   4.29250249e+00   4.29250249e+00
  6.40000000e+01  -6.21629817e+00   4.34385157e+00   4.34385157e+00
  6.50000000e+01  -2.02723498e+00   4.39642346e+00   4.39642346e+00
  6.60000000e+01  -3.19584529e+00   4.45017002e+00   4.45017002e+00
  6.70000000e+01  -4.54583446e-02   4.50505350e+00   4.50505350e+00
  6.80000000e+01  -5.43046595e+00   4.56102621e+00   4.56102621e+00
  6.90000000e+01   8.84081322e-01   4.61804798e+00   4.61804798e+00
  7.00000000e+01  -4.39243701e+00   4.67606980e+00   4.67606980e+00
  7.10000000e+01  -5.47252669e+00   4.73505069e+00   4.73505069e+00
  7.20000000e+01  -7.25492298e+00   4.79495044e+00   4.79495044e+00
  7.30000000e+01  -1.06818614e+01   4.85572963e+00   4.85572963e+00
  7.40000000e+01  -1.49066232e+01   4.91734779e+00   4.91734779e+00
  7.50000000e+01  -2.18629498e+00   4.97977316e+00   4.97977316e+00
  7.60000000e+01  -1.16435335e+01   5.04296681e+00   5.04296681e+00
  7.70000000e+01  -6.89964795e+00   5.10690150e+00   5.10690150e+00
  7.80000000e+01  -5.62269489e+00   5.17154518e+00   5.17154518e+00
  7.90000000e+01  -9.97581467e+00   5.23686806e+00   5.23686806e+00
  8.00000000e+01  -7.31772639e+00   5.30284581e+00   5.30284581e+00
  8.10000000e+01  -1.10062716e+01   5.36943516e+00   5.36943516e+00
  8.20000000e+01  -1.79019297e+01   5.43661618e+00   5.43661618e+00
  8.30000000e+01  -7.91348180e+00   5.50433528e+00   5.50433528e+00
  8.40000000e+01  -5.12611869e+00   5.57254857e+00   5.57254857e+00
  8.50000000e+01  -1.34618931e+01   5.64120212e+00   5.64120212e+00
  8.60000000e+01  -1.13680199e+01   5.71024722e+00   5.71024722e+00
  8.70000000e+01  -7.42066489e+00   5.77963524e+00   5.77963524e+00
  8.80000000e+01  -1.72719695e+01   5.84932753e+00   5.84932753e+00
  8.90000000e+01  -1.45890349e+01   5.91930113e+00   5.91930113e+00
  9.00000000e+01  -9.36537278e+00   5.98948098e+00   5.98948098e+00
  9.10000000e+01  -1.94860342e+01   6.05982343e+00   6.05982343e+00
  9.20000000e+01  -1.68125038e+01   6.13027531e+00   6.13027531e+00
  9.30000000e+01  -3.18781812e+01   6.20080438e+00   6.20080438e+00
  9.40000000e+01  -1.88642620e+01   6.27135495e+00   6.27135495e+00
  9.50000000e+01  -1.52038535e+01   6.34189626e+00   6.34189626e+00
  9.60000000e+01  -1.71413974e+01   6.41237043e+00   6.41237043e+00
  9.70000000e+01  -2.78734068e+01   6.48273679e+00   6.48273679e+00
  9.80000000e+01  -1.47373920e+01   6.55296477e+00   6.55296477e+00
  9.90000000e+01  -2.05224262e+01   6.62300772e+00   6.62300772e+00
  1.00000000e+02  -2.52245246e+01   6.69281864e+00   6.69281864e+00
  1.01000000e+02  -2.39464612e+01   6.76234360e+00   6.76234360e+00
  1.02000000e+02  -2.24032212e+01   6.83154202e+00   6.83154202e+00
  1.03000000e+02  -2.70166899e+01   6.90039331e+00   6.90039331e+00
  1.04000000e+02  -3.06071069e+01   6.96881089e+00   6.96881089e+00
  1.05000000e+02  -2.32788064e+01   7.03680289e+00   7.03680289e+00
  1.06000000e+02  -1.98639385e+01   7.10427681e+00   7.10427681e+00
  1.07000000e+02  -3.86003700e+01   7.17124035e+00   7.17124035e+00
  1.08000000e+02  -4.28470985e+01   7.23760879e+00   7.23760879e+00
  1.09000000e+02  -3.98287171e+01   7.30335033e+00   7.30335033e+00
  1.10000000e+02  -2.97317851e+01   7.36845904e+00   7.36845904e+00
  1.11000000e+02  -1.54339408e+01   7.43283937e+00   7.43283937e+00
  1.12000000e+02  -3.12720529e+01   7.49651361e+00   7.49651361e+00
  1.13000000e+02  -1.59786141e+01   7.55937739e+00   7.55937739e+00
  1.14000000e+02  -1.77965029e+01   7.62143622e+00   7.62143622e+00
  1.15000000e+02  -3.42578467e+01   7.68264658e+00   7.68264658e+00
  1.16000000e+02  -4.81147970e+01   7.74296784e+00   7.74296784e+00
  1.17000000e+02  -5.45177171e+01   7.80237055e+00   7.80237055e+00
  1.18000000e+02  -4.18676406e+01   7.86080448e+00   7.86080448e+00
  1.19000000e+02  -3.11007646e+01   7.91824414e+00   7.91824414e+00
  1.20000000e+02  -3.46549805e+01   7.97470518e+00   7.97470518e+00
  1.21000000e+02  -5.08839407e+01   8.03006907e+00   8.03006907e+00
  1.22000000e+02  -2.77254521e+01   8.08438747e+00   8.08438747e+00
  1.23000000e+02  -4.27301970e+01   8.13757061e+00   8.13757061e+00
  1.24000000e+02  -2.08346053e+01   8.18961477e+00   8.18961477e+00
  1.25000000e+02  -3.43450857e+01   8.24050973e+00   8.24050973e+00
  1.26000000e+02  -3.83545349e+01   8.29013508e+00   8.29013508e+00
  1.27000000e+02  -4.17993836e+01   8.33860097e+00   8.33860097e+00
  1.28000000e+02  -5.09680628e+01   8.38576875e+00   8.38576875e+00
  1.29000000e+02  -3.78965354e+01   8.43164021e+00   8.43164021e+00
  1.30000000e+02  -3.55426103e+01   8.47619993e+00   8.47619993e+00
  1.31000000e+02  -3.17514900e+01   8.51941347e+00   8.51941347e+00
  1.32000000e+02  -2.74802254e+01   8.56128218e+00   8.56128218e+00
  1.33000000e+02  -4.92980600e+01   8.60173104e+00   8.60173104e+00
  1.34000000e+02  -4.57452083e+01   8.64078137e+00   8.64078137e+00
  1.35000000e+02  -5.27694568e+01   8.67849182e+00   8.67849182e+00
  1.36000000e+02  -5.79134653e+01   8.71473576e+00   8.71473576e+00
  1.37000000e+02  -3.75161844e+01   8.74959118e+00   8.74959118e+00
  1.38000000e+02  -4.66130674e+01   8.78301938e+00   8.78301938e+00
  1.39000000e+02  -4.02439371e+01   8.81503696e+00   8.81503696e+00
  1.40000000e+02  -2.98123802e+01   8.84565061e+00   8.84565061e+00
  1.41000000e+02  -3.41803927e+01   8.87476999e+00   8.87476999e+00
  1.42000000e+02  -5.77610209e+01   8.90251061e+00   8.90251061e+00
  1.43000000e+02  -4.74267411e+01   8.92879691e+00   8.92879691e+00
  1.44000000e+02  -4.17062120e+01   8.95366509e+00   8.95366509e+00
  1.45000000e+02  -4.51513850e+01   8.97707443e+00   8.97707443e+00
  1.46000000e+02  -5.23477130e+01   8.99904987e+00   8.99904987e+00
  1.47000000e+02  -4.36175140e+01   9.01957181e+00   9.01957181e+00
  1.48000000e+02  -3.85834656e+01   9.03865356e+00   9.03865356e+00
  1.49000000e+02  -4.10469273e+01   9.05627027e+00   9.05627027e+00
  1.50000000e+02  -4.03583761e+01   9.07248944e+00   9.07248944e+00
  1.51000000e+02  -4.51883336e+01   9.08727444e+00   9.08727444e+00
  1.52000000e+02  -5.10346470e+01   9.10070746e+00   9.10070746e+00
  1.53000000e+02  -4.80748457e+01   9.11277308e+00   9.11277308e+00
  1.54000000e+02  -3.26457056e+01   9.12353780e+00   9.12353780e+00
  1.55000000e+02  -5.57676742e+01   9.13301049e+00   9.13301049e+00
  1.56000000e+02  -4.81573110e+01   9.14120023e+00   9.14120023e+00
  1.57000000e+02  -6.15947753e+01   9.14815813e+00   9.14815813e+00
  1.58000000e+02  -5.41554490e+01   9.15387894e+00   9.15387894e+00
  1.59000000e+02  -5.38165201e+01   9.15846872e+00   9.15846872e+00
  1.60000000e+02  -4.77615975e+01   9.16186781e+00   9.16186781e+00
  1.61000000e+02  -3.99104366e+01   9.16417033e+00   9.16417033e+00
  1.62000000e+02  -4.79069515e+01   9.16534680e+00   9.16534680e+00
  1.63000000e+02  -4.35025768e+01   9.16550769e+00   9.16550769e+00
  1.64000000e+02  -5.16819915e+01   9.16462503e+00   9.16462503e+00
  1.65000000e+02  -3.21735091e+01   9.16276188e+00   9.16276188e+00
  1.66000000e+02  -5.28257756e+01   9.15994936e+00   9.15994936e+00
  1.67000000e+02  -6.13622618e+01   9.15621742e+00   9.15621742e+00
  1.68000000e+02  -4.14487684e+01   9.15168978e+00   9.15168978e+00
  1.69000000e+02  -4.93770058e+01   9.14635413e+00   9.14635413e+00
  1.70000000e+02  -4.47707578e+01   9.14035120e+00   9.14035120e+00
  1.71000000e+02  -3.83510946e+01   9.13366601e+00   9.13366601e+00
  1.72000000e+02  -3.36543029e+01   9.12643990e+00   9.12643990e+00
  1.73000000e+02  -5.49479116e+01   9.11866875e+00   9.11866875e+00
  1.74000000e+02  -2.84369562e+01   9.11046586e+00   9.11046586e+00
  1.75000000e+02  -3.73577823e+01   9.10187587e+00   9.10187587e+00
  1.76000000e+02  -5.79136744e+01   9.09296481e+00   9.09296481e+00
  1.77000000e+02  -3.69286530e+01   9.08381578e+00   9.08381578e+00
  1.78000000e+02  -4.20931119e+01   9.07449088e+00   9.07449088e+00
  1.79000000e+02  -5.59100329e+01   9.06503232e+00   9.06503232e+00
  1.80000000e+02  -4.34864707e+01   9.05553849e+00   9.05553849e+00
  1.81000000e+02  -2.83298917e+01   9.04605635e+00   9.04605635e+00
  1.82000000e+02  -2.17659247e+01   9.03670997e+00   9.03670997e+00
  1.83000000e+02  -2.94642052e+01   9.02751227e+00   9.02751227e+00
  1.84000000e+02  -4.88887350e+01   9.01852848e+00   9.01852848e+00
  1.85000000e+02  -3.48202260e+01   9.00992654e+00   9.00992654e+00
  1.86000000e+02  -3.35423053e+01   9.00174714e+00   9.00174714e+00
  1.87000000e+02  -2.57304377e+01   8.99408961e+00   8.99408961e+00
  1.88000000e+02  -1.50169640e+01   8.98704131e+00   8.98704131e+00
  1.89000000e+02  -3.57663907e+01   8.98064937e+00   8.98064937e+00
  1.90000000e+02  -2.14631940e+01   8.97507419e+00   8.97507419e+00
  1.91000000e+02  -2.71483767e+01   8.97033550e+00   8.97033550e+00
  1.92000000e+02  -2.49806484e+01   8.96657156e+00   8.96657156e+00
  1.93000000e+02  -3.44893463e+01   8.96382790e+00   8.96382790e+00
  1.94000000e+02  -5.27934830e+00   8.96218126e+00   8.96218126e+00
  1.95000000e+02  -1.66812333e+01   8.96173072e+00   8.96173072e+00
  1.96000000e+02  -1.57832986e+00   8.96256465e+00   8.96256465e+00
  1.97000000e+02  -1.96381638e+01   8.96473452e+00   8.96473452e+00
  1.98000000e+02  -1.29207836e+01   8.96831233e+00   8.96831233e+00
  1.99000000e+02  -4.53390228e+00   8.97336877e+00   8.97336877e+00
  2.00000000e+02  -9.89266039e+00   8.97999022e+00   8.97999022e+00
  2.01000000e+02  -2.02399157e+01   8.98823374e+00   8.98823374e+00
  2.02000000e+02  -8.49640165e+00   8.99816973e+00   8.99816973e+00
  2.03000000e+02  -1.25248907e+01   9.00986668e+00   9.00986668e+00
  2.04000000e+02   7.03494400e+00   9.02339665e+00   9.02339665e+00
  2.05000000e+02  -4.19942815e+00   9.03878957e+00   9.03878957e+00
  2.06000000e+02  -6.98192826e+00   9.05611588e+00   9.05611588e+00
  2.07000000e+02  -4.95232518e+00   9.07543341e+00   9.07543341e+00
  2.08000000e+02  -2.21717501e+01   9.09678612e+00   9.09678612e+00
  2.09000000e+02  -1.24339740e+01   9.12018512e+00   9.12018512e+00
  2.10000000e+02   1.81567692e+01   9.14568690e+00   9.14568690e+00
  2.11000000e+02   2.15734592e+00   9.17332892e+00   9.17332892e+00
  2.12000000e+02   7.85305992e+00   9.20315148e+00   9.20315148e+00
  2.13000000e+02   2.33066272e+00   9.23512779e+00   9.23512779e+00
  2.14000000e+02   1.49953699e+01   9.26930632e+00   9.26930632e+00
  2.15000000e+02   1.92027258e+01   9.30570825e+00   9.30570825e+00
  2.16000000e+02  -8.14144924e+00   9.34434678e+00   9.34434678e+00
  2.17000000e+02   8.50232073e+00   9.38518920e+00   9.38518920e+00
  2.18000000e+02   1.30610048e+01   9.42824920e+00   9.42824920e+00
  2.19000000e+02   1.36813217e+01   9.47351568e+00   9.47351568e+00
  2.20000000e+02   2.17924469e+01   9.52098655e+00   9.52098655e+00
  2.21000000e+02   1.43720205e+01   9.57062597e+00   9.57062597e+00
  2.22000000e+02   1.29320969e+01   9.62240199e+00   9.62240199e+00
  2.23000000e+02   2.52398221e+01   9.67629668e+00   9.67629668e+00
  2.24000000e+02   2.66409995e+01   9.73227311e+00   9.73227311e+00
  2.25000000e+02   2.67180699e+01   9.79031156e+00   9.79031156e+00
  2.26000000e+02   3.03062576e+01   9.85036404e+00   9.85036404e+00
  2.27000000e+02   2.47368311e+01   9.91236181e+00   9.91236181e+00
  2.28000000e+02   3.31788829e+01   9.97631824e+00   9.97631824e+00
  2.29000000e+02   2.43681805e+00   1.00421170e+01   1.00421170e+01
  2.30000000e+02   4.84275096e+00   1.01097826e+01   1.01097826e+01
  2.31000000e+02   3.27018622e+01   1.01791799e+01   1.01791799e+01
  2.32000000e+02   3.60476877e+01   1.02503255e+01   1.02503255e+01
  2.33000000e+02   5.05878743e+01   1.03231184e+01   1.03231184e+01
  2.34000000e+02   2.36668855e+01   1.03975061e+01   1.03975061e+01
  2.35000000e+02   2.26119524e+01   1.04734204e+01   1.04734204e+01
  2.36000000e+02   3.97293066e+01   1.05507726e+01   1.05507726e+01
  2.37000000e+02   4.69883001e+01   1.06295141e+01   1.06295141e+01
  2.38000000e+02   3.14396157e+01   1.07095374e+01   1.07095374e+01
  2.39000000e+02   5.06155319e+01   1.07907837e+01   1.07907837e+01
  2.40000000e+02   6.61506939e+01   1.08731626e+01   1.08731626e+01
  2.41000000e+02   6.94287156e+01   1.09566043e+01   1.09566043e+01
  2.42000000e+02   3.21661090e+01   1.10410205e+01   1.10410205e+01
  2.43000000e+02   5.80057384e+01   1.11263489e+01   1.11263489e+01
  2.44000000e+02   3.98160252e+01   1.12125051e+01   1.12125051e+01
  2.45000000e+02   6.37509259e+01   1.12994042e+01   1.12994042e+01
  2.46000000e+02   6.15470337e+01   1.13869767e+01   1.13869767e+01
  2.47000000e+02   4.88596090e+01   1.14751427e+01   1.14751427e+01
  2.48000000e+02   5.26032686e+01   1.15638428e+01   1.15638428e+01
  2.49000000e+02   3.77581143e+01   1.16529791e+01   1.16529791e+01
  2.50000000e+02   5.10082119e+01   1.17424995e+01   1.17424995e+01
  2.51000000e+02   3.22947193e+01   1.18322994e+01   1.18322994e+01
  2.52000000e+02   7.24820258e+01   1.19223323e+01   1.19223323e+01
  2.53000000e+02   6.38615080e+01   1.20124807e+01   1.20124807e+01
  2.54000000e+02   5.51653114e+01   1.21026777e+01   1.21026777e+01
  2.55000000e+02   6.77468586e+01   1.21928368e+01   1.21928368e+01
  2.56000000e+02   8.73363890e+01   1.22828811e+01   1.22828811e+01
  2.57000000e+02   5.32761405e+01   1.23727422e+01   1.23727422e+01
  2.58000000e+02   7.11451083e+01   1.24623266e+01   1.24623266e+01
  2.59000000e+02   6.95696299e+01   1.25515771e+01   1.25515771e+01
  2.60000000e+02   1.02606566e+02   1.26404135e+01   1.26404135e+01
  2.61000000e+02   7.36247851e+01   1.27287791e+01   1.27287791e+01
  2.62000000e+02   8.49009222e+01   1.28166039e+01   1.28166039e+01
  2.63000000e+02   9.21078119e+01   1.29038101e+01   1.29038101e+01
  2.64000000e+02   1.00145752e+02   1.29903456e+01   1.29903456e+01
  2.65000000e+02   7.37305968e+01   1.30761358e+01   1.30761358e+01
  2.66000000e+02   7.31344740e+01   1.31611425e+01   1.31611425e+01
  2.67000000e+02   8.93157672e+01   1.32452886e+01   1.32452886e+01
  2.68000000e+02   8.73004023e+01   1.33285194e+01   1.33285194e+01
  2.69000000e+02   1.09805112e+02   1.34107767e+01   1.34107767e+01
  2.70000000e+02   7.23019997e+01   1.34919805e+01   1.34919805e+01
  2.71000000e+02   1.06284121e+02   1.35720939e+01   1.35720939e+01
  2.72000000e+02   1.00648840e+02   1.36510294e+01   1.36510294e+01
  2.73000000e+02   1.09263169e+02   1.37287587e+01   1.37287587e+01
  2.74000000e+02   1.13721938e+02   1.38052041e+01   1.38052041e+01
  2.75000000e+02   1.06921891e+02   1.38803299e+01   1.38803299e+01
  2.76000000e+02   8.62093499e+01   1.39540701e+01   1.39540701e+01
  2.77000000e+02   1.40343664e+02   1.40263922e+01   1.40263922e+01
  2.78000000e+02   8.74225884e+01   1.40972416e+01   1.40972416e+01
  2.79000000e+02   1.10989869e+02   1.41665847e+01   1.41665847e+01
  2.80000000e+02   8.06056529e+01   1.42343702e+01   1.42343702e+01
  2.81000000e+02   9.13003681e+01   1.43005564e+01   1.43005564e+01
  2.82000000e+02   1.19974127e+02   1.43651136e+01   1.43651136e+01
  2.83000000e+02   1.17552424e+02   1.44280006e+01   1.44280006e+01
  2.84000000e+02   1.15760060e+02   1.44891913e+01   1.44891913e+01
  2.85000000e+02   1.16993789e+02   1.45486362e+01   1.45486362e+01
  2.86000000e+02   9.74251722e+01   1.46063088e+01   1.46063088e+01
  2.87000000e+02   1.04386321e+02   1.46621770e+01   1.46621770e+01
  2.88000000e+02   8.30576165e+01   1.47161995e+01   1.47161995e+01
  2.89000000e+02   1.18934880e+02   1.47683480e+01   1.47683480e+01
  2.90000000e+02   1.17849797e+02   1.48185924e+01   1.48185924e+01
  2.91000000e+02   9.43326999e+01   1.48669051e+01   1.48669051e+01
  2.92000000e+02   1.14827803e+02   1.49132630e+01   1.49132630e+01
  2.93000000e+02   1.14676653e+02   1.49576412e+01   1.49576412e+01
  2.94000000e+02   1.10037931e+02   1.50000132e+01   1.50000132e+01
  2.95000000e+02   1.38009941e+02   1.50403722e+01   1.50403722e+01
  2.96000000e+02   1.23898756e+02   1.50786934e+01   1.50786934e+01
  2.97000000e+02   1.22660543e+02   1.51149636e+01   1.51149636e+01
  2.98000000e+02   1.04590075e+02   1.51491659e+01   1.51491659e+01
  2.99000000e+02   1.02046771e+02   1.51812892e+01   1.51812892e+01
  3.00000000e+02   1.30009894e+02   1.52113278e+01   1.52113278e+01
  3.01000000e+02   1.10874409e+02   1.52392704e+01   1.52392704e+01
  3.02000000e+02   1.17969260e+02   1.52651046e+01   1.52651046e+01
  3.03000000e+02   1.12705903e+02   1.52888201e+01   1.52888201e+01
  3.04000000e+02   1.39049174e+02   1.53104281e+01   1.53104281e+01
  3.05000000e+02   1.24853694e+02   1.53299071e+01   1.53299071e+01
  3.06000000e+02   1.09831788e+02   1.53472555e+01   1.53472555e+01
  3.07000000e+02   1.03577547e+02   1.53624836e+01   1.53624836e+01
  3.08000000e+02   1.25922176e+02   1.53755802e+01   1.53755802e+01
  3.09000000e+02   1.10992890e+02   1.53865596e+01   1.53865596e+01
  3.10000000e+02   9.47629837e+01   1.53954146e+01   1.53954146e+01
  3.11000000e+02   1.56278921e+02   1.54021554e+01   1.54021554e+01
  3.12000000e+02   1.18579839e+02   1.54067991e+01   1.54067991e+01
  3.13000000e+02   1.26313809e+02   1.54093427e+01   1.54093427e+01
  3.14000000e+02   1.11766026e+02   1.54097973e+01   1.54097973e+01
  3.15000000e+02   1.27698341e+02   1.54081913e+01   1.54081913e+01
  3.16000000e+02   1.35623825e+02   1.54045175e+01   1.54045175e+01
  3.17000000e+02   1.01909699e+02   1.53988097e+01   1.53988097e+01
  3.18000000e+02   8.72301074e+01   1.53910772e+01   1.53910772e+01
  3.19000000e+02   1.10914242e+02   1.53813399e+01   1.53813399e+01
  3.20000000e+02   1.10407324e+02   1.53696151e+01   1.53696151e+01
  3.21000000e+02   7.94320812e+01   1.53559394e+01   1.53559394e+01
  3.22000000e+02   1.58497117e+02   1.53403174e+01   1.53403174e+01
  3.23000000e+02   1.12691171e+02   1.53227940e+01   1.53227940e+01
  3.24000000e+02   1.22855011e+02   1.53033860e+01   1.53033860e+01
  3.25000000e+02   1.27596910e+02   1.52821213e+01   1.52821213e+01
  3.26000000e+02   1.31005662e+02   1.52590304e+01   1.52590304e+01
  3.27000000e+02   1.40906020e+02   1.52341575e+01   1.52341575e+01
  3.28000000e+02   1.24017691e+02   1.52075177e+01   1.52075177e+01
  3.29000000e+02   1.09007718e+02   1.51791537e+01   1.51791537e+01
  3.30000000e+02   1.05731060e+02   1.51490975e+01   1.51490975e+01
  3.31000000e+02   1.16597148e+02   1.51173980e+01   1.51173980e+01
  3.32000000e+02   1.13241702e+02   1.50840772e+01   1.50840772e+01
  3.33000000e+02   8.92757529e+01   1.50491836e+01   1.50491836e+01
  3.34000000e+02   9.33111215e+01   1.50127633e+01   1.50127633e+01
  3.35000000e+02   1.05840863e+02   1.49748470e+01   1.49748470e+01
  3.36000000e+02   1.21664148e+02   1.49354875e+01   1.49354875e+01
  3.37000000e+02   9.64988930e+01   1.48947290e+01   1.48947290e+01
  3.38000000e+02   8.54067740e+01   1.48526144e+01   1.48526144e+01
  3.39000000e+02   1.01856655e+02   1.48091923e+01   1.48091923e+01
  3.40000000e+02   1.23485580e+02   1.47645197e+01   1.47645197e+01
  3.41000000e+02   1.16618267e+02   1.47186305e+01   1.47186305e+01
  3.42000000e+02   1.08703704e+02   1.46715831e+01   1.46715831e+01
  3.43000000e+02   7.54251309e+01   1.46234347e+01   1.46234347e+01
  3.44000000e+02   7.90663333e+01   1.45742256e+01   1.45742256e+01
  3.45000000e+02   8.52264909e+01   1.45240139e+01   1.45240139e+01
  3.46000000e+02   9.23109151e+01   1.44728525e+01   1.44728525e+01
  3.47000000e+02   8.70136414e+01   1.44208044e+01   1.44208044e+01
  3.48000000e+02   7.86886146e+01   1.43679139e+01   1.43679139e+01
  3.49000000e+02   8.81393169e+01   1.43142412e+01   1.43142412e+01
  3.50000000e+02   9.77476063e+01   1.42598529e+01   1.42598529e+01
  3.51000000e+02   9.32114222e+01   1.42047935e+01   1.42047935e+01
  3.52000000e+02   8.07713196e+01   1.41491300e+01   1.41491300e+01
  3.53000000e+02   8.17425693e+01   1.40929274e+01   1.40929274e+01
  3.54000000e+02   1.05062850e+02   1.40362329e+01   1.40362329e+01
  3.55000000e+02   6.28307422e+01   1.39791120e+01   1.39791120e+01
  3.56000000e+02   9.11785066e+01   1.39216248e+01   1.39216248e+01
  3.57000000e+02   6.82208022e+01   1.38638368e+01   1.38638368e+01
  3.58000000e+02   6.82033249e+01   1.38057960e+01   1.38057960e+01
  3.59000000e+02   6.98220182e+01   1.37475740e+01   1.37475740e+01
  3.60000000e+02   9.20733862e+01   1.36892268e+01   1.36892268e+01
  3.61000000e+02   6.34203477e+01   1.36308057e+01   1.36308057e+01
  3.62000000e+02   7.61987519e+01   1.35723842e+01   1.35723842e+01
  3.63000000e+02   6.14933774e+01   1.35140094e+01   1.35140094e+01
  3.64000000e+02   7.77680356e+01   1.34557543e+01   1.34557543e+01
  3.65000000e+02   6.85719623e+01   1.33976647e+01   1.33976647e+01
  3.66000000e+02   4.07614558e+01   1.33398136e+01   1.33398136e+01
  3.67000000e+02   3.83088734e+01   1.32822526e+01   1.32822526e+01
  3.68000000e+02   7.14930594e+01   1.32250346e+01   1.32250346e+01
  3.69000000e+02   5.21416126e+01   1.31682303e+01   1.31682303e+01
  3.70000000e+02   4.46888812e+01   1.31118840e+01   1.31118840e+01
  3.71000000e+02   4.82560633e+01   1.30560638e+01   1.30560638e+01
  3.72000000e+02   4.11881487e+01   1.30008096e+01   1.30008096e+01
  3.73000000e+02   5.57012819e+01   1.29461869e+01   1.29461869e+01
